# Pinned property sample, discovered from the provider and stable thereafter.
# Keyed on property_token, never on name -- a rebrand changes the name and not the token.
# Regenerate with: python -m ukhotels.discover (writing is the default; --dry-run-panel to preview)
location,tier,property_token,property_name,first_seen,selection_basis
wales,midscale,ChYI4M22wsSmhaiyARoJL20vMDg3NGtzEAE,The Coal Exchange Hotel,2026-08-18,discovered
wales,midscale,ChgIy6Th07iV-pTCARoLL2cvMXR5eXdqeGIQAQ,Travelodge Cardiff Atlantic Wharf,2026-08-18,discovered
wales,upscale,ChgIsILI29L7ze_YARoLL2cvMXR0OGJwdjYQAQ,Leonardo Hotel Cardiff,2026-08-18,discovered
wales,upscale,ChoI3Jba28bH3cWXARoNL2cvMTFoMGQ1eXRkZxAB,Mercure Cardiff,2026-08-18,discovered
wales,upscale,ChoI3PmB4rbu4Pe2ARoNL2cvMTFiYnJsM2o5MhAB,"Radisson Blu Hotel, Cardiff",2026-08-18,discovered
wales,upscale,ChoIidaQkfy2nsXcARoNL2cvMTFyOHZ6cHI1bhAB,Staybridge Suites Cardiff by IHG,2026-08-18,discovered
wales,upscale,ChkI18Lsp6-Rr4NAGg0vZy8xMXI5Z3ZmbF93EAE,The Parkgate Hotel,2026-08-18,discovered
west_midlands,midscale,ChkIuNmfvoyw0JZ8Gg0vZy8xMWg1NWJ3M2dnEAE,Malacuna Birmingham,2026-08-18,discovered
west_midlands,midscale,ChcI-72w0LzmtP0gGgsvZy8xdjNkcmt6ahAB,ibis Birmingham New Street Station,2026-08-18,discovered
west_midlands,upscale,ChUInKTWzO_y4uVGGgkvbS8wYjliZzYQAQ,Castle Bromwich Hall Hotel,2026-08-18,discovered
west_midlands,upscale,ChUIzZ-FvMGRk49EGgkvbS8wZm13NjAQAQ,Hyatt Regency Birmingham,2026-08-18,discovered
west_midlands,upscale,ChcIxIfayo78nPhgGgsvZy8xdGZqXzk1NxAB,The Duke of Wellington Hotel & Bar,2026-08-18,discovered
west_midlands,upscale,ChYIqtHivp_Rkbg3GgovbS8wal81dnNnEAE,The Grand Hotel Birmingham,2026-08-18,discovered
west_midlands,upscale,ChkI-d-sj5vujK2DARoML2cvMTJsbHk0NnAwEAE,The Spires Serviced Apartments Birmingham,2026-08-18,discovered
yorkshire_and_the_humber,midscale,ChkIgtna4vSCgPoDGg0vZy8xMWI3Nmh3NzJuEAE,Hinsley Hall,2026-08-18,discovered
yorkshire_and_the_humber,midscale,ChcIp-OIsPitprQqGgsvZy8xdGRjZnd3cxAB,Holiday Inn Express Leeds City Centre - Armouries by IHG,2026-08-18,discovered
yorkshire_and_the_humber,midscale,ChgIu5nTrLu10YKWARoLL2cvMXRrYnhyOTcQAQ,The Wrens,2026-08-18,discovered
yorkshire_and_the_humber,midscale,ChgIoZahib-ztvwNGgwvZy8xMXhwamo3MXoQAQ,Travelodge Leeds Central,2026-08-18,discovered
yorkshire_and_the_humber,midscale,ChkI1e6Br8KW2K_zARoML2cvMTJxZnpmdG40EAE,Travelodge Leeds Central Vicar Lane,2026-08-18,discovered
yorkshire_and_the_humber,upscale,ChkImL7K6aaq4tpiGg0vZy8xMXZ6ZzFsbDY4EAE,Hyatt House Leeds,2026-08-18,discovered
yorkshire_and_the_humber,upscale,ChkIqJKDn8225bY7Gg0vZy8xMXZ3eGN6c3g0EAE,Hyatt Place Leeds,2026-08-18,discovered
yorkshire_and_the_humber,upscale,ChgIlNOXpvD2pteLARoLL2cvMXYyeXljd3EQAQ,Novotel Leeds Centre,2026-08-18,discovered
yorkshire_and_the_humber,upscale,ChgIvMiZ2--qr_0OGgwvZy8xamt3Y3F0NnIQAQ,"Radisson Blu Hotel, Leeds City Centre",2026-08-18,discovered
yorkshire_and_the_humber,upscale,ChYIjp3MqJeX3YrkARoJL20vMGY5a254EAE,The Queens Hotel,2026-08-18,discovered
